Šifra artikla,Jedinica mjere ,Naziv artikla,Stanje zaliha,Knjigovodstveno stanje
947548,kom,NALIV PERO ONLINE ICONE AUBERGINE 30207,"0,000","0,000"
947549,kom,NALIV PERO ONLINE CRYSTAL INSP.BLACK SA FUTR.39109,"1,000","1,000"
947550,kom,NALIV PERO ONLINE CRYSTAL INSP.CHAMPAGNE SA FUTR.39110,"0,000","0,000"
947551,kom,NALIV PERO ONLINE EVENT BLACK 30310,"0,000","0,000"
947552,kom,NALIV PERO ONLINE EVENT SILVER 30311,"0,000","0,000"
947553,kom,NALIV PERO ONLINE EVENT RED 30313,"0,000","0,000"
947554,kom,HEMIJSKA OLOVKA ONLINE VISION BUTTERFLY DREAMS ROSEGOLD 36987,"1,000","1,000"
947555,kom,HEMIJSKA OLOVKA ONLINE VISION CORK 36771,"1,000","1,000"
947556,kom,HEMIJSKA OLOVKA ONLINE ICONE AUBERGINE 30210,"0,000","0,000"
947558,kom,HEMIJSKA OLOVKA ONLINE ICONE STONE 30211,"0,000","0,000"
947559,kom,HEMIJSKA OLOVKA ONLINE CRYSTAL INSP.MAGIC WHITE 39018,"1,000","1,000"
947560,kom,HEMIJSKA OLOVKA ONLINE CRYSTAL INSPIRATION BLACK 39116,"1,000","1,000"
947561,kom,HEMIJSKA OLOVKA ONLINE CRYSTA INSPIRATION CHAMPAGNE 39114,"1,000","1,000"
947562,kom,HEMIJSKA OLOVKA ONLINE EVENT BLACK 30315,"0,000","0,000"
947563,kom,HEMIJSKA OLOVKA ONLINE EVENT SILVER 30316,"0,000","0,000"
947564,kom,HEMIJSKA OLOVKA ONLINE EVENT RED 30318,"1,000","1,000"
947598,kom,KR-ŽENSKA TORBA  921,"3,000","3,000"
947599,kom,KR-ŽENSKA TORBA 922,"1,000","1,000"
947600,kom,KR-ŽENSKA TORBA 909,"0,000","0,000"
947601,kom,KR-ŽENSKA TORBA 950,"0,000","0,000"
947602,kom,KR-ŽENSKA TORBA 913,"0,000","0,000"
947603,kom,KR-ŽENSKA TORBA 903,"4,000","4,000"
947604,kom,SG-ČESTITKE,"27,000","27,000"
947605,kom,SG-PLOSKA,"0,000","0,000"
947606,kom,SG-PLOSKA,"0,000","0,000"
947607,kom,SG-SOLARNA FIGURA,"6,000","6,000"
947608,kom,SG-VREĆICA ZA PIĆE,"0,000","0,000"
947609,kom,SG-VREĆICA ZA PIĆE,"24,000","24,000"
947610,kom,SG-ČESTITKA,"0,000","0,000"
947611,kom,SG-ČESTITKE,"0,000","0,000"
947612,kom,SG-ČESTITKE,"6,000","6,000"
947616,kom,LEGO-ZANEOVA POTJERA U ČAMCU,"1,000","1,000"
947617,kom,LEGO-TRŽNICA,"0,000","0,000"
947618,kom,LEGO-POLICIJSKA POTJERA,"0,000","0,000"
947619,kom,LEGO-ANDREIN PERFORMANS U PARKU,"1,000","1,000"
947620,kom,LEGO-MIJINA KUĆICA NA DRVETU,"0,000","0,000"
947621,kom,LEGO-PUSTOLOVINE U DIVLJINI,"1,000","1,000"
947622,kom,LEGO-EMINA SPAVAĆA SOBA,"1,000","1,000"
947623,kom,LEGO-ANDREINA SPAVAĆA SOBA,"0,000","0,000"
947624,kom,LEGO-FRIENDS EMMA KEY,"1,000","1,000"
947625,kom,LEGO-CHEWBACCA,"1,000","1,000"
947626,kom,LEGO-POTJERA NA PRAŠNJAVOJ CESTI,"0,000","0,000"
947628,kom,LEGO-PLAVA PLOČA,"1,000","1,000"
947630,kom,LEGO-KYLO REN,"1,000","1,000"
947648,kom,KNJIGA KOMISIONIH USLUGA,"0,000","0,000"
947674,kom,KETRIDŽ HP 650 CRNI,"0,000","0,000"
947675,kom,KETRIDŽ HP 650 U BOJI,"0,000","0,000"
947679,kom,HEMIJSKA OLOVKA QUATRO (tri boje)sa špagom oko vrata,"21,000","21,000"
947681,kom,DE-HEM.OLOVKA ANIMALS 84820,"43,000","43,000"
947682,kom,DE-KESA ZA PIĆE,"10,000","10,000"
947683,kom,DE*TABLA ŠKOLSKA MALA,"5,000","5,000"
947684,kom,DE-TABLA ŠKOLSKA VELIKA,"2,000","2,000"
947685,kom,DE-FASCIKLA PVC A4,"2,000","2,000"
947686,kom,DE-GUMICA SMILES,"150,000","150,000"
947687,kom,DE-TABLA DJEČIJA BIJELA,"0,000","0,000"
947739,kom,MAKAZE 19CM JD-2,"1,000","1,000"
947754,kom,TORBA NA RAME  ŽENSKA GENSHII 15X22X5CM TAUPE,"0,000","0,000"
947756,kom,TORBA NA RAME ŽENSKA GENSHII 15X22X5CM GREY,"0,000","0,000"
947757,kom,TORBA NA RAME ŽENSKA GENSHII 15X22X5CM COGNAC,"0,000","0,000"
947758,kom,NOVČANIK  ŽENSKI GENSHII 10X19X2CM GREY,"5,000","5,000"
947759,kom,NOVČANIK  ŽENSKI GENHII 10X19X2CM COGNAC,"3,000","3,000"
947760,kom,NOVČANIK ŽENSKI GENSHII  10X19X2CM TAUPE,"4,000","4,000"
947761,kom,TORBA ŽENSKA GENSHII LETS SPARKLE 36X35X11CM BROWN,"1,000","1,000"
947762,kom,TORBA ŽENSKA GENSHII  LETS SPARKLE 36X35X11CM GREY,"0,000","0,000"
947763,kom,TORBA ŽENSKA GENSHII LETS SPARKLE 36X35X11CM SAND,"1,000","1,000"
947764,pak,SPIRALA PVC 45 MM 50/1,"0,000","0,000"
947765,kom,TORBA ŽENSKA  GENSHII GOOD MOOD 37X43X14CM SAND,"0,000","0,000"
947766,kom,TORBA ŽENSKA GENSHII GOOD MOOD 37X43X14CM BROWN,"2,000","2,000"
947767,kom,TORBA ŽENSKA GENSHII GOOD MOOD 37X43X14CM GREY,"1,000","1,000"
947768,kom,TORBA ŽENSKA GENSHII ANYTIME 36X30X13CM BLACK,"2,000","2,000"
947769,kom,TORBA ŽENSKA  GENSHII ANYTIME 36X30X13CM GREY,"0,000","0,000"
947770,kom,TORBA ŽENSKA GENSHII ANYTIME 36X30X13CM TAUPE,"1,000","1,000"
947771,kom,TORBA ŽENSKA GENSHII HYDE PARK 32X28X19CM OF WHITE,"0,000","0,000"
947772,kom,TORBA ŽENSKA GENSHII HYDE PARK 32X28X19CM TAUPE,"1,000","1,000"
947773,kom,NOVČANIK ŽENSKI GENSHII ROCKIN STYLE 9X13X3 BLACK,"2,000","2,000"
947774,kom,NOVČANIK ŽENSKI GENSHII ROCKN STYLE 9X13X3CM GREY,"3,000","3,000"
947775,kom,NOVČANIK ŽENSKI GENSHII ROCKIN STYLE 9X13X3CM NAVY,"2,000","2,000"
947776,kom,TORBA ŽENSKA GENSHII HYDE PARK 32X28X19CM BLACK,"0,000","0,000"
947777,kom,TORBA ŽENSKA GENSHII HYDE PARK 32X28X19 BLUE,"0,000","0,000"
947778,kom,TORBA ŽENSKA GENSHII HYDE PARK 32X28X19CM GREY,"1,000","1,000"
947779,kom,TORBA ŽENSKA GENSHII ANYTIME 36X30X13CM ANTHRACITE,"0,000","0,000"
947780,kom,TORBA ŽENSKA GENSHII ANYTIME 36X30X13CM NAVY,"0,000","0,000"
947781,kom,TAŠNA ŽENSKA GENSHII CITY STYLE 21X13X3CM BLACK,"0,000","0,000"
947782,kom,TAŠNA ŽENSKA GENSHII CITY STYLE 21X13X3CM GREY,"2,000","2,000"
947783,kom,TORBA ŽENSKA GENSHII CITY STYLE 21X13X3CM NAVY,"1,000","1,000"
947784,kom,TORBA ŽENSKA KIDZROOM STARS 30X48X16CM BLACK,"1,000","1,000"
947785,kom,TORBA ŽENSKA KIDZROOM STARS 30X48X16CM GREY,"1,000","1,000"
947786,kom,TORBA ŽENSKA KIDZROOM STARS 30X48X16CM BLUE,"1,000","1,000"
947787,kom,TORBA ŽENSKA KIDZROOM VISION OF LOVE 27X45X8CM BLACK,"1,000","1,000"
947789,kom,TORBA ŽENSKA KIDZROOM VISION OF LOVE 27X45X8CM BLUE,"1,000","1,000"
947790,kom,TORBA  ŽENSKA KIDZROOM VISION OF LOVE 27X45X8CM GREY,"1,000","1,000"
947791,kom,TORBA ŽENSKA KIDZROOM VISION OF LOVE 27X45X8CM SAND,"0,000","0,000"
947792,kom,RANAC KIDZROOM BLACK&WHITE 28X27X16CM SUPERHEROES,"0,000","0,000"
947793,kom,RANAC KIDZROOM BLACK&WHITE 28X27X16CM TWINKLE,"0,000","0,000"
947794,kom,RANAC KIDZROOM BLACK&WHITE HERTS WHITE 28X27X16CM,"1,000","1,000"
947795,kom,RANAC KIDZROOM BLACK&WHITE PLANES 28X27X16CM,"2,000","2,000"
947796,kom,RANAC KIDZROOM BLACK&WHITE ROBOT 28X27X16CM,"1,000","1,000"
947797,kom,RANAC KIDZROOM DALY NAVY/PINK  28X27X16CM,"1,000","1,000"
947798,kom,TORBA ŽENSKA KIDZROOM AMAZING 28X36X16CM BLACK,"1,000","1,000"
947799,kom,TORBA ŽENSKA KIDZROOM FANTASY 26X45X16CM BLACK,"1,000","1,000"
947800,kom,RANAC KIDZROOM SYMBOLIC 31X23X9CM PEACH,"0,000","0,000"
947801,kom,RANAC KIDZROOM SYMBOLIC 36X27X12CM PINK,"0,000","0,000"
947802,kom,RANAC KIDZROOM BLACK&WHITE  28X27X16CM HEARTS BLOCK,"1,000","1,000"
947803,kom,RANAC KIDZROOM BLACK&GOLD 30X23X13CM DOTS,"0,000","0,000"
947804,kom,RANAC KIDZROOM SYMBOLIC  36X26X9CM STARS,"0,000","0,000"
947805,kom,TORBA MILKY KISS TAKE A SMILE 37X28X12CM FUCHSIA,"1,000","1,000"
947806,kom,PERNICA MILKY KISS TAKE A SMILE 7X20X7CM FUCHSIA,"0,000","0,000"
947807,kom,RANAC MILKY KISS PATCH PERFECT 39X24X11CM BLACK,"0,000","0,000"
947808,kom,RANAC MILKY KISS PATCH PERFECT 39X24X11CM GREY,"0,000","0,000"
947809,kom,RANAC MILKY KISS WE LVIN IT 34X23X13CM BLACK,"0,000","0,000"
947810,kom,RANAC MILKY KISS ALL MY LIFE 34X23X13CM GREY,"0,000","0,000"
947811,kom,RANAC  MILKY KISS CANDY SHOP 39X29X16CM BLUE,"0,000","0,000"
947812,kom,RANAC MILKY KISS DO FOR LOVE 39X29X16CM GOLD,"1,000","1,000"
947813,kom,RANAC MILKY KISS ITS FRIDAY 43X30X14CM BLACK,"1,000","1,000"
947814,kom,TORBA NA RAME MILKY KISS ITS FRIDAY 25X36X11CM BLACK,"0,000","0,000"
947815,kom,PERNICA MILKY KISS ITS FRIDAY 8X20X8CM BLACK,"0,000","0,000"
947816,kom,RANAC MILKY KISS CIRCLE AROUND 39X29X16CM WHITE,"0,000","0,000"
947817,kom,RANAC MILKY KISS CIRCLE AROUND 33X23X12CM WHITE,"0,000","0,000"
947818,kom,RANAC MILKY KISS FOREVER HAPPY 39X29X16CM ORIGINAL,"0,000","0,000"
947819,kom,RANAC MILKY KISS FOREVER HAPPY 33X23X12CM ORIGINAL,"1,000","1,000"
947820,kom,TORBA ZA FIZIČKO  MILKY KISS FOREVER HAPPY 32X42 ORIGINAL,"0,000","0,000"
947821,kom,RANAC MILKY KISS BE YOU 39X29X16CM BLACK,"0,000","0,000"
947822,kom,TORBA ZA FIZIČKO MILKY KISS BE YOU 32X42CM BLACK,"1,000","1,000"
947823,kom,TORBA MILKY KISS CLOUDE OF LOVE39X29X16CM GRY,"0,000","0,000"
